PLX	impct_contr	report	Senat Id	Senat URL	cdep URL	ambig	dir	law	cln_law	impact_dir	nonrel_dir
102/2019	1	Cu impact: art. I pct. 1	['L738/2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L738&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17350	0.0	102_2019	102_2019/- forma iniţiatorului.pdf.txt	102_2019/___clean___ - forma iniţiatorului.pdf.txt	102_2019/impact	102_2019/nonrelevant
112/2019	1	Cu impact: art. 3 lit. f), art. 4, art. 6 și art. 9 (sesizat la verificare acte normative aflate în Senat)	['L21/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L21&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17721	0.0	112_2019	112_2019/- forma adoptată de Senat.pdf.txt	112_2019/___clean___ - forma adoptată de Senat.pdf.txt	112_2019/impact	112_2019/nonrelevant
123/2019	1	Cu impact: art. 2 alin. (2), art. 15 alin. (1),(6),(7) din O.U.G. nr. 6/2019 	['L116/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L116&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17740	0.0	123_2019	123_2019/- Ordonanţa Guvernului.pdf.txt	123_2019/___clean___ - Ordonanţa Guvernului.pdf.txt	123_2019/impact	123_2019/nonrelevant
128/2017	1	Cu impact: pct. 9, 10, 13, 28 (sesizat în raport anterior)	['L633/27.12.2016']	https://www.senat.ro/legis/lista.aspx?nr_cls=L633&an_cls=2016	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=16178	0.0	128_2017	128_2017/- Ordonanţa Guvernului.pdf.txt	128_2017/___clean___ - Ordonanţa Guvernului.pdf.txt	128_2017/impact	128_2017/nonrelevant
141/2018	1	Cu impact 	['L123/19.02.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L123&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=16956	0.0	141_2018	141_2018/- Ordonanţa Guvernului.pdf.txt	141_2018/___clean___ - Ordonanţa Guvernului.pdf.txt	141_2018/impact	141_2018/nonrelevant
146/2019	2	CONTRAVINE: art. unic pct. 5, 12, 17 (sesizat la verificare acte normative aflate în Senat)	['L18/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L18&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17381	0.0	146_2019	146_2019/- forma iniţiatorului.pdf.txt	146_2019/___clean___ - forma iniţiatorului.pdf.txt	146_2019/contravine	146_2019/nonrelevant
148/2019	1	Cu impact: art. I pct. 1, 2, art. II, III	['L34/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L34&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17465	0.0	148_2019	148_2019/- forma iniţiatorului.pdf.txt	148_2019/___clean___ - forma iniţiatorului.pdf.txt	148_2019/impact	148_2019/nonrelevant
168/2019	2	CONTRAVINE actul normativ în integralitate (pdv la solicitarea MFP) 	['L40/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L40&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17490	0.0	168_2019	168_2019/- forma iniţiatorului.pdf.txt	168_2019/___clean___ - forma iniţiatorului.pdf.txt	168_2019/contravine	168_2019/nonrelevant
179/2019	1	Cu impact: art. 3 din O.U.G. nr. 10/2019 care se aprobă	['L122/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L122&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17773	0.0	179_2019	179_2019/- Ordonanţa Guvernului.pdf.txt	179_2019/___clean___ - Ordonanţa Guvernului.pdf.txt	179_2019/impact	179_2019/nonrelevant
183/2019	1	Cu impact: art. 1 pct. 1 şi 2	['L105/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L105&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17776	0.0	183_2019	183_2019/- forma iniţiatorului.pdf.txt	183_2019/___clean___ - forma iniţiatorului.pdf.txt	183_2019/impact	183_2019/nonrelevant
186/2019	1	Cu impact: art. I pct. 3, 8	['L30/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L30&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17779	0.0	186_2019	186_2019/- forma iniţiatorului.pdf.txt	186_2019/___clean___ - forma iniţiatorului.pdf.txt	186_2019/impact	186_2019/nonrelevant
189/2019	2	CONTRAVINE: proiectul de lege în integralitate (sesizat la verificare acte normative în Senat)	['L98/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L98&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17579	0.0	189_2019	189_2019/- forma iniţiatorului.pdf.txt	189_2019/___clean___ - forma iniţiatorului.pdf.txt	189_2019/contravine	189_2019/nonrelevant
202/2018	2	CONTRAVINE:  modificarea art. 37 din O.U.G. nr. 189/2002 (sesizat în raport anterior)	['L219/10.04.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L219&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17002	0.0	202_2018	202_2018/- forma iniţiatorului.pdf.txt	202_2018/___clean___ - forma iniţiatorului.pdf.txt	202_2018/contravine	202_2018/nonrelevant
204/2019	2	"Cu impact: art. I pct. 2, 9, 15, 30, 31 
CONTRAVINE: art. I pct. 9, 15, 30, 31 (sesizat la verificare acte normative în Senat)"	['L101/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L101&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17786	0.0	204_2019	204_2019/- forma iniţiatorului.pdf.txt	204_2019/___clean___ - forma iniţiatorului.pdf.txt	204_2019/contravine	204_2019/nonrelevant
208/2018	2	CONTRAVINE: proiectul de lege în integralitate (sesizat în raport anterior)	['L 465/2017']	https://www.senat.ro/legis/lista.aspx?nr_cls=L465&an_cls=2017	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17004	0.0	208_2018	208_2018/- forma iniţiatorului.pdf.txt	208_2018/___clean___ - forma iniţiatorului.pdf.txt	208_2018/contravine	208_2018/nonrelevant
213/2019	2	"CONTRAVINE: art. I pct. 4, 8, 16, 19, art. V pct 2, 3
 (sesizat în raport anterior)"	[]	0	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17606	0.0	213_2019	213_2019/Forma iniţiatorului.pdf.txt	213_2019/___clean___ Forma iniţiatorului.pdf.txt	213_2019/contravine	213_2019/nonrelevant
218/2018	1	Cu impact: art. I pct. 2, 8	['L62/05.02.2018']	https://www.senat.ro/legis/lista.aspx?nr_cls=L62&an_cls=2018	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17017	0.0	218_2018	218_2018/- forma iniţiatorului.pdf.txt	218_2018/___clean___ - forma iniţiatorului.pdf.txt	218_2018/Impact	218_2018/nonrelevant
222/2019	1	Cu impact: actul normativ integral	['L133/2019']	https://www.senat.ro/legis/lista.aspx?nr_cls=L133&an_cls=2019	http://www.cdep.ro/pls/proiecte/upl_pck2015.proiect?cam=2&idp=17811	0.0	222_2019	222_2019/- Ordonanţa Guvernului.pdf.txt	222_2019/___clean___ - Ordonanţa Guvernului.pdf.txt	222_2019/impact	222_2019/nonrelevant
